representation,cell_type,euclidean_shift,cosine_shift,n_pdac,n_adj,mean_var_pdac,mean_var_adj
scGPT,B-Cells,0.10064922,0.005230944354761569,1495,2916,6.7679524e-05,5.8340338e-05
scGPT,Ductal,0.32700124,0.0592761362327352,7237,3881,0.0003271053,0.00013820377
scGPT,Endothelial,0.1119792,0.007165247522688545,1117,2130,0.00027118824,0.00023865394
scGPT,Fibroblasts,0.20799343,0.024786340511320337,8204,1846,0.00024479712,0.00025289814
scGPT,Macrophages,0.15434861,0.014196995115556055,3858,2336,0.00030789356,0.00032341987
scGPT,Mast,0.087180056,0.0039963005387212425,810,179,9.3140094e-05,0.00010047224
scGPT,Neutrophils,0.17850989,0.016661147022649314,1322,1046,8.241122e-05,8.863131e-05
scGPT,Stellate,0.12053987,0.00803124040752734,959,608,0.00017926973,0.00021008149
scGPT,T-Cells,0.09717963,0.004989094588176091,12177,8931,0.000102221165,0.00010765488
PCA-50,B-Cells,3.61903,0.01664096243810842,1495,2916,1.2151687,1.2287979
PCA-50,Ductal,24.155867,0.6999113145135294,7237,3881,12.087977,5.677005
PCA-50,Endothelial,14.08893,0.07557391340262187,1117,2130,9.720918,11.948943
PCA-50,Fibroblasts,19.673473,0.27949701106152114,8204,1846,7.068126,8.916291
PCA-50,Macrophages,11.671326,0.10451049416754299,3858,2336,10.007383,11.197884
PCA-50,Mast,4.883253,0.004735435196605242,810,179,2.2308967,2.1897068
PCA-50,Neutrophils,21.142664,0.21529664715876118,1322,1046,4.624265,6.329986
PCA-50,Stellate,8.639117,0.0378916939813746,959,608,7.178935,12.730508
PCA-50,T-Cells,5.1284842,0.08959096508299214,12177,8931,2.458389,2.6414912
Raw-HVG,B-Cells,3.4125693,0.024252292664981523,1495,2916,0.064463414,0.050911255
Raw-HVG,Ductal,15.304741,0.33463253641998636,7237,3881,0.13503766,0.080261685
Raw-HVG,Endothelial,7.369667,0.052114758718025844,1117,2130,0.12419142,0.14628845
Raw-HVG,Fibroblasts,11.022455,0.0999911460343873,8204,1846,0.12110093,0.12884003
Raw-HVG,Macrophages,7.4169917,0.04447387292179572,3858,2336,0.13107222,0.13606253
Raw-HVG,Mast,4.7710314,0.029369668995220644,810,179,0.080187604,0.08369302
Raw-HVG,Neutrophils,12.438307,0.1218608358806641,1322,1046,0.21986444,0.23226027
Raw-HVG,Stellate,6.3811975,0.03819438312753165,959,608,0.10497118,0.1236207
Raw-HVG,T-Cells,4.033038,0.03887213637878384,12177,8931,0.09185545,0.08447665
